date,time,temperature ℃,humidity %RH
2025.07.26,2:00,--,--
2025.07.26,3:00,--,--
2025.07.26,4:00,--,--
2025.07.26,5:00,--,--
2025.07.26,6:00,--,--
2025.07.26,7:00,--,--
2025.07.26,8:00,--,--
2025.07.26,9:00,--,--
2025.07.26,10:00,--,--
2025.07.26,11:00,36.1,--
2025.07.26,12:00,37.5,--
2025.07.26,13:00,38.3,--
2025.07.26,14:00,42.6,--
2025.07.26,15:00,40.5,--
2025.07.26,16:00,32.1,--
2025.07.26,17:00,22.5,--
2025.07.26,18:00,20.3,--
2025.07.26,19:00,18.5,--
2025.07.26,20:00,17.1,--
2025.07.26,21:00,16.0,--
2025.07.26,22:00,16.0,--
2025.07.26,23:00,15.4,--
2025.07.27,0:00,14.8,--
2025.07.27,1:00,14.9,--
2025.07.27,2:00,14.0,--
2025.07.27,3:00,13.8,--
2025.07.27,4:00,13.5,--
2025.07.27,5:00,12.4,--
2025.07.27,6:00,11.9,--
2025.07.27,7:00,11.5,--
2025.07.27,8:00,18.4,--
2025.07.27,9:00,32.3,--
2025.07.27,10:00,34.8,--
2025.07.27,11:00,36.2,--
2025.07.27,12:00,39.3,--
2025.07.27,13:00,41.4,--
2025.07.27,14:00,42.0,--
2025.07.27,15:00,39.6,--
2025.07.27,16:00,35.2,--
2025.07.27,17:00,27.3,--
2025.07.27,18:00,19.1,--
2025.07.27,19:00,18.0,--
2025.07.27,20:00,17.1,--
2025.07.27,21:00,16.3,--
2025.07.27,22:00,15.6,--
2025.07.27,23:00,14.9,--
2025.07.28,0:00,16.3,--
2025.07.28,1:00,16.1,--
2025.07.28,2:00,15.7,--
2025.07.28,3:00,15.5,--
2025.07.28,4:00,15.1,--
2025.07.28,5:00,15.1,--
2025.07.28,6:00,14.7,--
2025.07.28,7:00,14.7,--
2025.07.28,8:00,15.6,--
2025.07.28,9:00,17.3,--
2025.07.28,10:00,23.9,--
2025.07.28,11:00,33.9,--
2025.07.28,12:00,37.9,--
2025.07.28,13:00,40.0,--
2025.07.28,14:00,39.6,--
2025.07.28,15:00,40.6,--
2025.07.28,16:00,29.0,--
2025.07.28,17:00,25.9,--
2025.07.28,18:00,18.5,--
2025.07.28,19:00,16.9,--
2025.07.28,20:00,16.0,--
2025.07.28,21:00,15.0,--
2025.07.28,22:00,15.0,--
2025.07.28,23:00,14.2,--
2025.07.29,0:00,13.5,--
2025.07.29,1:00,13.3,--
2025.07.29,2:00,12.6,--
2025.07.29,3:00,12.5,--
2025.07.29,4:00,12.1,--
2025.07.29,5:00,11.5,--
2025.07.29,6:00,11.3,--
2025.07.29,7:00,11.1,--
2025.07.29,8:00,17.2,--
2025.07.29,9:00,28.3,--
2025.07.29,10:00,33.1,--
2025.07.29,11:00,34.4,--
2025.07.29,12:00,36.3,--
2025.07.29,13:00,38.5,--
2025.07.29,14:00,41.0,--
2025.07.29,15:00,38.3,--
2025.07.29,16:00,33.5,--
2025.07.29,17:00,27.2,--
2025.07.29,18:00,18.3,--
2025.07.29,19:00,16.8,--
2025.07.29,20:00,15.5,--
2025.07.29,21:00,14.5,--
2025.07.29,22:00,13.8,--
2025.07.29,23:00,13.2,--
2025.07.30,0:00,12.7,--
2025.07.30,1:00,12.3,--
2025.07.30,2:00,11.8,--
2025.07.30,3:00,11.2,--
2025.07.30,4:00,10.6,--
2025.07.30,5:00,10.3,--
2025.07.30,6:00,10.2,--
2025.07.30,7:00,10.2,--
2025.07.30,8:00,16.3,--
2025.07.30,9:00,28.5,--
2025.07.30,10:00,33.7,--
2025.07.30,11:00,35.1,--
2025.07.30,12:00,36.6,--
2025.07.30,13:00,42.1,--
2025.07.30,14:00,40.3,--
2025.07.30,15:00,39.0,--
2025.07.30,16:00,34.0,--
2025.07.30,17:00,26.5,--
2025.07.30,18:00,18.1,--
2025.07.30,19:00,16.1,--
2025.07.30,20:00,15.2,--
2025.07.30,21:00,13.8,--
2025.07.30,22:00,13.3,--
2025.07.30,23:00,12.7,--
2025.07.31,0:00,12.3,--
2025.07.31,1:00,11.8,--
2025.07.31,2:00,11.7,--
2025.07.31,3:00,10.9,--
2025.07.31,4:00,10.5,--
2025.07.31,5:00,10.0,--
2025.07.31,6:00,10.0,--
2025.07.31,7:00,10.1,--
2025.07.31,8:00,17.8,--
2025.07.31,9:00,29.8,--
2025.07.31,10:00,33.4,--
