date,time,temperature ℃,humidity %RH
2025.07.26,2:00,--,--
2025.07.26,3:00,--,--
2025.07.26,4:00,--,--
2025.07.26,5:00,--,--
2025.07.26,6:00,--,--
2025.07.26,7:00,--,--
2025.07.26,8:00,--,--
2025.07.26,9:00,--,--
2025.07.26,10:00,--,--
2025.07.26,11:00,42.0,--
2025.07.26,12:00,46.0,--
2025.07.26,13:00,44.4,--
2025.07.26,14:00,45.5,--
2025.07.26,15:00,37.5,--
2025.07.26,16:00,31.0,--
2025.07.26,17:00,19.7,--
2025.07.26,18:00,16.7,--
2025.07.26,19:00,13.3,--
2025.07.26,20:00,10.6,--
2025.07.26,21:00,9.5,--
2025.07.26,22:00,9.7,--
2025.07.26,23:00,9.9,--
2025.07.27,0:00,9.5,--
2025.07.27,1:00,9.4,--
2025.07.27,2:00,8.6,--
2025.07.27,3:00,8.5,--
2025.07.27,4:00,7.5,--
2025.07.27,5:00,4.5,--
2025.07.27,6:00,3.9,--
2025.07.27,7:00,3.1,--
2025.07.27,8:00,21.6,--
2025.07.27,9:00,35.1,--
2025.07.27,10:00,42.0,--
2025.07.27,11:00,43.7,--
2025.07.27,12:00,47.2,--
2025.07.27,13:00,47.4,--
2025.07.27,14:00,47.1,--
2025.07.27,15:00,34.5,--
2025.07.27,16:00,31.0,--
2025.07.27,17:00,24.3,--
2025.07.27,18:00,13.0,--
2025.07.27,19:00,11.6,--
2025.07.27,20:00,10.4,--
2025.07.27,21:00,9.3,--
2025.07.27,22:00,8.7,--
2025.07.27,23:00,7.3,--
2025.07.28,0:00,9.7,--
2025.07.28,1:00,9.8,--
2025.07.28,2:00,9.4,--
2025.07.28,3:00,9.1,--
2025.07.28,4:00,9.1,--
2025.07.28,5:00,9.1,--
2025.07.28,6:00,8.5,--
2025.07.28,7:00,8.6,--
2025.07.28,8:00,11.3,--
2025.07.28,9:00,16.5,--
2025.07.28,10:00,31.1,--
2025.07.28,11:00,39.5,--
2025.07.28,12:00,44.4,--
2025.07.28,13:00,41.8,--
2025.07.28,14:00,43.5,--
2025.07.28,15:00,37.3,--
2025.07.28,16:00,26.6,--
2025.07.28,17:00,23.1,--
2025.07.28,18:00,11.5,--
2025.07.28,19:00,8.9,--
2025.07.28,20:00,7.6,--
2025.07.28,21:00,6.4,--
2025.07.28,22:00,5.5,--
2025.07.28,23:00,4.8,--
2025.07.29,0:00,4.5,--
2025.07.29,1:00,4.5,--
2025.07.29,2:00,3.1,--
2025.07.29,3:00,2.8,--
2025.07.29,4:00,2.3,--
2025.07.29,5:00,1.7,--
2025.07.29,6:00,1.4,--
2025.07.29,7:00,1.8,--
2025.07.29,8:00,19.6,--
2025.07.29,9:00,32.1,--
2025.07.29,10:00,39.5,--
2025.07.29,11:00,41.7,--
2025.07.29,12:00,45.5,--
2025.07.29,13:00,45.0,--
2025.07.29,14:00,41.9,--
2025.07.29,15:00,35.4,--
2025.07.29,16:00,30.0,--
2025.07.29,17:00,24.3,--
2025.07.29,18:00,9.4,--
2025.07.29,19:00,7.0,--
2025.07.29,20:00,5.3,--
2025.07.29,21:00,4.1,--
2025.07.29,22:00,3.3,--
2025.07.29,23:00,2.4,--
2025.07.30,0:00,1.2,--
2025.07.30,1:00,0.7,--
2025.07.30,2:00,0.3,--
2025.07.30,3:00,-0.3,--
2025.07.30,4:00,-0.7,--
2025.07.30,5:00,-1.0,--
2025.07.30,6:00,-1.5,--
2025.07.30,7:00,-0.6,--
2025.07.30,8:00,19.9,--
2025.07.30,9:00,30.8,--
2025.07.30,10:00,39.0,--
2025.07.30,11:00,41.3,--
2025.07.30,12:00,40.5,--
2025.07.30,13:00,47.5,--
2025.07.30,14:00,45.3,--
2025.07.30,15:00,39.0,--
2025.07.30,16:00,29.0,--
2025.07.30,17:00,20.6,--
2025.07.30,18:00,9.0,--
2025.07.30,19:00,6.1,--
2025.07.30,20:00,4.6,--
2025.07.30,21:00,3.3,--
2025.07.30,22:00,2.1,--
2025.07.30,23:00,1.1,--
2025.07.31,0:00,1.0,--
2025.07.31,1:00,0.1,--
2025.07.31,2:00,0.3,--
2025.07.31,3:00,-0.5,--
2025.07.31,4:00,-0.9,--
2025.07.31,5:00,-1.3,--
2025.07.31,6:00,-1.6,--
2025.07.31,7:00,-0.3,--
2025.07.31,8:00,21.0,--
2025.07.31,9:00,33.0,--
2025.07.31,10:00,39.8,--
2025.07.31,11:00,42.8,--
