date,time,temperature ℃,humidity %RH
2025.07.28,2:00,--,--
2025.07.28,3:00,--,--
2025.07.28,4:00,--,--
2025.07.28,5:00,--,--
2025.07.28,6:00,--,--
2025.07.28,7:00,--,--
2025.07.28,8:00,--,--
2025.07.28,9:00,--,--
2025.07.28,10:00,--,--
2025.07.28,11:00,--,--
2025.07.28,12:00,--,--
2025.07.28,13:00,--,--
2025.07.28,14:00,41.3,--
2025.07.28,15:00,40.7,--
2025.07.28,16:00,30.4,--
2025.07.28,17:00,21.5,--
2025.07.28,18:00,14.8,--
2025.07.28,19:00,11.1,--
2025.07.28,20:00,9.2,--
2025.07.28,21:00,7.8,--
2025.07.28,22:00,6.8,--
2025.07.28,23:00,6.1,--
2025.07.29,0:00,5.8,--
2025.07.29,1:00,6.0,--
2025.07.29,2:00,4.7,--
2025.07.29,3:00,4.3,--
2025.07.29,4:00,3.8,--
2025.07.29,5:00,3.3,--
2025.07.29,6:00,2.3,--
2025.07.29,7:00,2.6,--
2025.07.29,8:00,12.5,--
2025.07.29,9:00,20.2,--
2025.07.29,10:00,28.6,--
2025.07.29,11:00,29.4,--
2025.07.29,12:00,33.4,--
2025.07.29,13:00,40.3,--
2025.07.29,14:00,41.8,--
2025.07.29,15:00,41.4,--
2025.07.29,16:00,36.4,--
2025.07.29,17:00,22.3,--
2025.07.29,18:00,13.4,--
2025.07.29,19:00,9.8,--
2025.07.29,20:00,7.4,--
2025.07.29,21:00,5.9,--
2025.07.29,22:00,4.8,--
2025.07.29,23:00,3.9,--
2025.07.30,0:00,3.1,--
2025.07.30,1:00,2.7,--
2025.07.30,2:00,2.0,--
2025.07.30,3:00,1.5,--
2025.07.30,4:00,1.1,--
2025.07.30,5:00,0.7,--
2025.07.30,6:00,0.3,--
2025.07.30,7:00,0.6,--
2025.07.30,8:00,11.9,--
2025.07.30,9:00,20.4,--
2025.07.30,10:00,29.9,--
2025.07.30,11:00,29.9,--
2025.07.30,12:00,34.1,--
2025.07.30,13:00,41.8,--
2025.07.30,14:00,42.3,--
2025.07.30,15:00,42.7,--
2025.07.30,16:00,37.3,--
2025.07.30,17:00,23.4,--
2025.07.30,18:00,13.8,--
2025.07.30,19:00,9.5,--
2025.07.30,20:00,7.0,--
2025.07.30,21:00,5.3,--
2025.07.30,22:00,4.2,--
2025.07.30,23:00,3.3,--
2025.07.31,0:00,2.9,--
2025.07.31,1:00,2.3,--
2025.07.31,2:00,2.1,--
2025.07.31,3:00,1.4,--
