date,time,temperature ℃,humidity %RH
2025.07.26,2:00,--,--
2025.07.26,3:00,--,--
2025.07.26,4:00,--,--
2025.07.26,5:00,--,--
2025.07.26,6:00,--,--
2025.07.26,7:00,--,--
2025.07.26,8:00,--,--
2025.07.26,9:00,--,--
2025.07.26,10:00,--,--
2025.07.26,11:00,21.2,--
2025.07.26,12:00,22.1,--
2025.07.26,13:00,23.1,--
2025.07.26,14:00,23.3,--
2025.07.26,15:00,24.2,--
2025.07.26,16:00,21.9,--
2025.07.26,17:00,17.6,--
2025.07.26,18:00,15.8,--
2025.07.26,19:00,12.7,--
2025.07.26,20:00,10.6,--
2025.07.26,21:00,10.5,--
2025.07.26,22:00,12.3,--
2025.07.26,23:00,12.9,--
2025.07.27,0:00,12.6,--
2025.07.27,1:00,12.2,--
2025.07.27,2:00,11.6,--
2025.07.27,3:00,11.9,--
2025.07.27,4:00,10.2,--
2025.07.27,5:00,6.7,--
2025.07.27,6:00,4.9,--
2025.07.27,7:00,5.3,--
2025.07.27,8:00,11.8,--
2025.07.27,9:00,17.3,--
2025.07.27,10:00,20.3,--
2025.07.27,11:00,20.2,--
2025.07.27,12:00,21.6,--
2025.07.27,13:00,23.5,--
2025.07.27,14:00,22.5,--
2025.07.27,15:00,21.3,--
2025.07.27,16:00,21.0,--
2025.07.27,17:00,19.3,--
2025.07.27,18:00,14.6,--
2025.07.27,19:00,13.1,--
2025.07.27,20:00,11.9,--
2025.07.27,21:00,10.6,--
2025.07.27,22:00,10.0,--
2025.07.27,23:00,8.8,--
2025.07.28,0:00,9.4,--
2025.07.28,1:00,9.0,--
2025.07.28,2:00,8.3,--
2025.07.28,3:00,8.0,--
2025.07.28,4:00,7.8,--
2025.07.28,5:00,7.6,--
2025.07.28,6:00,7.1,--
2025.07.28,7:00,7.0,--
2025.07.28,8:00,7.8,--
2025.07.28,9:00,9.3,--
2025.07.28,10:00,12.9,--
2025.07.28,11:00,15.8,--
2025.07.28,12:00,19.1,--
2025.07.28,13:00,18.6,--
2025.07.28,14:00,19.4,--
2025.07.28,15:00,19.6,--
2025.07.28,16:00,16.5,--
2025.07.28,17:00,17.0,--
2025.07.28,18:00,10.5,--
2025.07.28,19:00,9.4,--
2025.07.28,20:00,7.4,--
2025.07.28,21:00,8.0,--
2025.07.28,22:00,6.6,--
2025.07.28,23:00,6.2,--
2025.07.29,0:00,5.5,--
2025.07.29,1:00,6.5,--
2025.07.29,2:00,3.1,--
2025.07.29,3:00,4.6,--
2025.07.29,4:00,4.0,--
2025.07.29,5:00,2.5,--
2025.07.29,6:00,1.6,--
2025.07.29,7:00,2.6,--
2025.07.29,8:00,11.6,--
2025.07.29,9:00,12.8,--
2025.07.29,10:00,16.2,--
2025.07.29,11:00,17.5,--
2025.07.29,12:00,17.3,--
2025.07.29,13:00,19.4,--
2025.07.29,14:00,19.9,--
2025.07.29,15:00,19.2,--
2025.07.29,16:00,18.7,--
2025.07.29,17:00,16.1,--
2025.07.29,18:00,7.9,--
2025.07.29,19:00,8.0,--
2025.07.29,20:00,7.1,--
2025.07.29,21:00,6.4,--
2025.07.29,22:00,4.3,--
2025.07.29,23:00,3.3,--
2025.07.30,0:00,3.1,--
2025.07.30,1:00,2.2,--
2025.07.30,2:00,2.1,--
2025.07.30,3:00,1.0,--
2025.07.30,4:00,0.7,--
2025.07.30,5:00,0.5,--
2025.07.30,6:00,-0.3,--
2025.07.30,7:00,0.3,--
2025.07.30,8:00,8.9,--
2025.07.30,9:00,12.1,--
2025.07.30,10:00,16.9,--
2025.07.30,11:00,18.2,--
2025.07.30,12:00,19.4,--
2025.07.30,13:00,19.8,--
2025.07.30,14:00,20.6,--
2025.07.30,15:00,19.9,--
2025.07.30,16:00,20.0,--
2025.07.30,17:00,16.5,--
2025.07.30,18:00,9.5,--
2025.07.30,19:00,7.8,--
2025.07.30,20:00,6.4,--
2025.07.30,21:00,4.0,--
2025.07.30,22:00,4.5,--
2025.07.30,23:00,2.6,--
2025.07.31,0:00,2.6,--
2025.07.31,1:00,2.4,--
2025.07.31,2:00,2.0,--
2025.07.31,3:00,1.2,--
2025.07.31,4:00,0.9,--
2025.07.31,5:00,-1.3,--
2025.07.31,6:00,0.5,--
2025.07.31,7:00,1.0,--
2025.07.31,8:00,9.8,--
2025.07.31,9:00,15.9,--
2025.07.31,10:00,18.6,--
2025.07.31,11:00,19.9,--
