,ambient,soilcold,c2l,c2g,c2t,c2s,c3l,c3g,cst,c3s
2025-07-29 00:00:00,5.5,15.3,17.8,13.2,5.8,15.6,19.3,13.5,4.5,15.8
2025-07-29 01:00:00,6.5,15.3,17.7,13.1,6.0,15.4,19.1,13.3,4.5,15.7
2025-07-29 02:00:00,3.1,15.2,17.5,12.4,4.7,15.3,18.9,12.6,3.1,15.6
2025-07-29 03:00:00,4.6,15.1,17.3,12.1,4.3,15.1,18.6,12.5,2.8,15.5
2025-07-29 04:00:00,4.0,15.0,17.0,11.8,3.8,14.9,18.2,12.1,2.3,15.3
2025-07-29 05:00:00,2.5,14.9,16.8,11.4,3.3,14.8,17.8,11.5,1.7,15.2
2025-07-29 06:00:00,1.6,14.8,16.5,11.0,2.3,14.6,17.5,11.3,1.4,15.1
2025-07-29 07:00:00,2.6,14.7,16.3,11.0,2.6,14.4,17.2,11.1,1.8,14.9
2025-07-29 08:00:00,11.6,14.6,16.3,18.1,12.5,14.3,17.1,17.2,19.6,14.8
2025-07-29 09:00:00,12.8,14.4,16.5,20.9,20.2,14.1,17.3,28.3,32.1,14.6
2025-07-29 10:00:00,16.2,14.3,16.9,25.9,28.6,14.0,17.6,33.1,39.5,14.5
2025-07-29 11:00:00,17.5,14.1,17.4,33.3,29.4,13.9,18.2,34.4,41.7,14.5
2025-07-29 12:00:00,17.3,14.0,17.9,33.3,33.4,13.9,18.8,36.3,45.5,14.5
2025-07-29 13:00:00,19.4,13.9,18.3,37.5,40.3,13.9,19.4,38.5,45.0,14.5
2025-07-29 14:00:00,19.9,13.9,19.0,37.2,41.8,14.2,19.9,41.0,41.9,14.6
2025-07-29 15:00:00,19.2,13.9,19.3,37.3,41.4,14.4,20.3,38.3,35.4,14.9
2025-07-29 16:00:00,18.7,14.0,19.3,33.8,36.4,14.7,20.6,33.5,30.0,15.1
2025-07-29 17:00:00,16.1,14.1,19.3,29.0,22.3,15.0,20.5,27.2,24.3,15.3
2025-07-29 18:00:00,7.9,14.3,19.0,18.6,13.4,15.3,20.2,18.3,9.4,15.5
2025-07-29 19:00:00,8.0,14.4,18.8,17.0,9.8,15.5,19.9,16.8,7.0,15.6
2025-07-29 20:00:00,7.1,14.5,18.7,16.0,7.4,15.6,19.7,15.5,5.3,15.8
2025-07-29 21:00:00,6.4,14.6,18.6,15.2,5.9,15.6,19.5,14.5,4.1,15.8
2025-07-29 22:00:00,4.3,14.7,18.5,14.3,4.8,15.6,19.4,13.8,3.3,15.7
2025-07-29 23:00:00,3.3,14.8,18.4,13.6,3.9,15.4,19.3,13.2,2.4,15.7
2025-07-30 00:00:00,3.1,14.7,18.3,13.1,3.1,15.3,19.2,12.7,1.2,15.6
2025-07-30 01:00:00,2.2,14.7,18.2,12.7,2.7,15.2,19.0,12.3,0.7,15.5
2025-07-30 02:00:00,2.1,14.7,18.0,12.2,2.0,15.0,18.6,11.8,0.3,15.3
2025-07-30 03:00:00,1.0,14.5,17.7,11.6,1.5,14.8,18.1,11.2,-0.3,15.2
2025-07-30 04:00:00,0.7,14.4,17.5,11.4,1.1,14.6,17.8,10.6,-0.7,15.0
2025-07-30 05:00:00,0.5,14.3,17.1,11.0,0.7,14.4,17.4,10.3,-1.0,14.9
2025-07-30 06:00:00,-0.3,14.3,16.9,10.8,0.3,14.3,17.0,10.2,-1.5,14.7
2025-07-30 07:00:00,0.3,14.1,16.6,10.6,0.6,14.1,16.6,10.2,-0.6,14.5
2025-07-30 08:00:00,8.9,14.0,16.6,17.2,11.9,13.9,16.5,16.3,19.9,14.4
2025-07-30 09:00:00,12.1,13.8,16.8,21.2,20.4,13.8,16.8,28.5,30.8,14.2
2025-07-30 10:00:00,16.9,13.7,17.1,27.9,29.9,13.6,17.1,33.7,39.0,14.1
2025-07-30 11:00:00,18.2,13.6,17.6,33.7,29.9,13.5,17.7,35.1,41.3,14.0
2025-07-30 12:00:00,19.4,13.4,18.1,34.4,34.1,13.5,18.3,36.6,40.5,14.0
2025-07-30 13:00:00,19.8,13.3,18.6,37.2,41.8,13.6,18.9,42.1,47.5,14.1
2025-07-30 14:00:00,20.6,13.3,19.3,37.8,42.3,13.8,19.5,40.3,45.3,14.3
2025-07-30 15:00:00,19.9,13.3,19.6,37.1,42.7,14.1,19.9,39.0,39.0,14.5
2025-07-30 16:00:00,20.0,13.4,19.6,35.1,37.3,14.4,20.1,34.0,29.0,14.7
2025-07-30 17:00:00,16.5,13.5,19.6,28.6,23.4,14.8,20.1,26.5,20.6,15.0
2025-07-30 18:00:00,9.5,13.6,19.3,18.9,13.8,15.1,19.8,18.1,9.0,15.2
