date,time,temperature ℃,humidity %RH
2025.07.26,2:00,--,--
2025.07.26,3:00,--,--
2025.07.26,4:00,--,--
2025.07.26,5:00,--,--
2025.07.26,6:00,--,--
2025.07.26,7:00,--,--
2025.07.26,8:00,--,--
2025.07.26,9:00,--,--
2025.07.26,10:00,--,--
2025.07.26,11:00,13.1,--
2025.07.26,12:00,13.2,--
2025.07.26,13:00,13.4,--
2025.07.26,14:00,--,--
2025.07.26,15:00,--,--
2025.07.26,16:00,--,--
2025.07.26,17:00,-0.7,--
2025.07.26,18:00,-0.7,--
2025.07.26,19:00,-0.7,--
2025.07.26,20:00,-0.7,--
2025.07.26,21:00,-0.7,--
2025.07.26,22:00,-0.7,--
2025.07.26,23:00,--,--
2025.07.27,0:00,-0.7,--
2025.07.27,1:00,-0.7,--
2025.07.27,2:00,-0.7,--
2025.07.27,3:00,-0.7,--
2025.07.27,4:00,-0.7,--
2025.07.27,5:00,-0.7,--
2025.07.27,6:00,-0.7,--
2025.07.27,7:00,-0.7,--
2025.07.27,8:00,-0.7,--
2025.07.27,9:00,-0.7,--
2025.07.27,10:00,--,--
2025.07.27,11:00,--,--
2025.07.27,12:00,--,--
2025.07.27,13:00,--,--
2025.07.27,14:00,--,--
2025.07.27,15:00,--,--
2025.07.27,16:00,16.0,--
2025.07.27,17:00,15.4,--
2025.07.27,18:00,15.3,--
2025.07.27,19:00,15.3,--
2025.07.27,20:00,15.4,--
2025.07.27,21:00,15.4,--
2025.07.27,22:00,15.4,--
2025.07.27,23:00,15.4,--
2025.07.28,0:00,15.4,--
2025.07.28,1:00,15.4,--
2025.07.28,2:00,15.4,--
2025.07.28,3:00,15.3,--
2025.07.28,4:00,15.3,--
2025.07.28,5:00,15.1,--
2025.07.28,6:00,15.1,--
2025.07.28,7:00,14.9,--
2025.07.28,8:00,14.9,--
2025.07.28,9:00,14.8,--
2025.07.28,10:00,14.8,--
2025.07.28,11:00,14.6,--
2025.07.28,12:00,14.6,--
2025.07.28,13:00,14.5,--
2025.07.28,14:00,14.6,--
2025.07.28,15:00,14.6,--
2025.07.28,16:00,14.6,--
2025.07.28,17:00,14.7,--
2025.07.28,18:00,14.8,--
2025.07.28,19:00,15.0,--
2025.07.28,20:00,15.1,--
2025.07.28,21:00,15.2,--
2025.07.28,22:00,15.3,--
2025.07.28,23:00,15.3,--
2025.07.29,0:00,15.3,--
2025.07.29,1:00,15.3,--
2025.07.29,2:00,15.2,--
2025.07.29,3:00,15.1,--
2025.07.29,4:00,15.0,--
2025.07.29,5:00,14.9,--
2025.07.29,6:00,14.8,--
2025.07.29,7:00,14.7,--
2025.07.29,8:00,14.6,--
2025.07.29,9:00,14.4,--
2025.07.29,10:00,14.3,--
2025.07.29,11:00,14.1,--
2025.07.29,12:00,14.0,--
2025.07.29,13:00,13.9,--
2025.07.29,14:00,13.9,--
2025.07.29,15:00,13.9,--
2025.07.29,16:00,14.0,--
2025.07.29,17:00,14.1,--
2025.07.29,18:00,14.3,--
2025.07.29,19:00,14.4,--
2025.07.29,20:00,14.5,--
2025.07.29,21:00,14.6,--
2025.07.29,22:00,14.7,--
2025.07.29,23:00,14.8,--
2025.07.30,0:00,14.7,--
2025.07.30,1:00,14.7,--
2025.07.30,2:00,14.7,--
2025.07.30,3:00,14.5,--
2025.07.30,4:00,14.4,--
2025.07.30,5:00,14.3,--
2025.07.30,6:00,14.3,--
2025.07.30,7:00,14.1,--
2025.07.30,8:00,14.0,--
2025.07.30,9:00,13.8,--
2025.07.30,10:00,13.7,--
2025.07.30,11:00,13.6,--
2025.07.30,12:00,13.4,--
2025.07.30,13:00,13.3,--
2025.07.30,14:00,13.3,--
2025.07.30,15:00,13.3,--
2025.07.30,16:00,13.4,--
2025.07.30,17:00,13.5,--
2025.07.30,18:00,13.6,--
2025.07.30,19:00,13.8,--
2025.07.30,20:00,13.9,--
2025.07.30,21:00,14.1,--
2025.07.30,22:00,14.2,--
2025.07.30,23:00,14.2,--
2025.07.31,0:00,14.2,--
2025.07.31,1:00,14.2,--
2025.07.31,2:00,14.2,--
2025.07.31,3:00,14.1,--
2025.07.31,4:00,14.0,--
2025.07.31,5:00,13.9,--
2025.07.31,6:00,13.8,--
2025.07.31,7:00,13.6,--
2025.07.31,8:00,13.6,--
2025.07.31,9:00,13.4,--
2025.07.31,10:00,13.3,--
2025.07.31,11:00,13.1,--
