date,time,temperature ℃,humidity %RH
2025.07.28,02:00,--,--
2025.07.28,03:00,--,--
2025.07.28,04:00,--,--
2025.07.28,05:00,--,--
2025.07.28,06:00,--,--
2025.07.28,07:00,--,--
2025.07.28,08:00,--,--
2025.07.28,09:00,--,--
2025.07.28,10:00,--,--
2025.07.28,11:00,--,--
2025.07.28,12:00,--,--
2025.07.28,13:00,15.2,--
2025.07.28,14:00,14.6,--
2025.07.28,15:00,14.9,--
2025.07.28,16:00,15.2,--
2025.07.28,17:00,15.4,--
2025.07.28,18:00,15.6,--
2025.07.28,19:00,15.9,--
2025.07.28,20:00,15.9,--
2025.07.28,21:00,15.9,--
2025.07.28,22:00,15.8,--
2025.07.28,23:00,15.8,--
2025.07.29,00:00,15.6,--
2025.07.29,01:00,15.4,--
2025.07.29,02:00,15.3,--
2025.07.29,03:00,15.1,--
2025.07.29,04:00,14.9,--
2025.07.29,05:00,14.8,--
2025.07.29,06:00,14.6,--
2025.07.29,07:00,14.4,--
2025.07.29,08:00,14.3,--
2025.07.29,09:00,14.1,--
2025.07.29,10:00,14,--
2025.07.29,11:00,13.9,--
2025.07.29,12:00,13.9,--
2025.07.29,13:00,13.9,--
2025.07.29,14:00,14.2,--
2025.07.29,15:00,14.4,--
2025.07.29,16:00,14.7,--
2025.07.29,17:00,15,--
2025.07.29,18:00,15.3,--
2025.07.29,19:00,15.5,--
2025.07.29,20:00,15.6,--
2025.07.29,21:00,15.6,--
2025.07.29,22:00,15.6,--
2025.07.29,23:00,15.4,--
2025.07.30,00:00,15.3,--
2025.07.30,01:00,15.2,--
2025.07.30,02:00,15,--
2025.07.30,03:00,14.8,--
2025.07.30,04:00,14.6,--
2025.07.30,05:00,14.4,--
2025.07.30,06:00,14.3,--
2025.07.30,07:00,14.1,--
2025.07.30,08:00,13.9,--
2025.07.30,09:00,13.8,--
2025.07.30,10:00,13.6,--
2025.07.30,11:00,13.5,--
2025.07.30,12:00,13.5,--
